Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
22/11/2025,Fiorentina,Juventus,1,1,D,11,17,2,4,3.9,3.4,2.0,2025-26,Serie A,I1
22/11/2025,Napoli,Atalanta,3,1,H,11,14,6,3,2.25,3.25,3.4,2025-26,Serie A,I1
23/11/2025,Verona,Parma,1,2,A,10,15,2,7,2.25,3.0,3.6,2025-26,Serie A,I1
23/11/2025,Cremonese,Roma,1,3,A,9,12,4,6,6.0,3.75,1.62,2025-26,Serie A,I1
23/11/2025,Lazio,Lecce,2,0,H,19,5,9,1,1.62,3.7,6.25,2025-26,Serie A,I1
23/11/2025,Inter,Milan,0,1,A,20,7,6,3,1.9,3.5,4.0,2025-26,Serie A,I1
24/11/2025,Torino,Como,1,5,A,10,15,2,7,3.5,3.25,2.2,2025-26,Serie A,I1
24/11/2025,Sassuolo,Pisa,2,2,D,22,10,7,3,2.1,3.2,3.75,2025-26,Serie A,I1
28/11/2025,Como,Sassuolo,2,0,H,18,12,13,5,1.73,3.6,5.0,2025-26,Serie A,I1
29/11/2025,Genoa,Verona,2,1,H,15,13,4,5,2.05,3.0,4.2,2025-26,Serie A,I1
29/11/2025,Parma,Udinese,0,2,A,17,14,2,5,2.7,3.0,2.8,2025-26,Serie A,I1
29/11/2025,Juventus,Cagliari,2,1,H,14,5,6,3,1.3,5.5,10.0,2025-26,Serie A,I1
29/11/2025,Milan,Lazio,1,0,H,16,9,4,4,1.62,3.8,5.75,2025-26,Serie A,I1
30/11/2025,Lecce,Torino,2,1,H,10,15,2,6,3.0,2.88,2.7,2025-26,Serie A,I1
30/11/2025,Pisa,Inter,0,2,A,10,14,2,3,8.0,5.75,1.3,2025-26,Serie A,I1
30/11/2025,Atalanta,Fiorentina,2,0,H,21,15,9,3,1.73,3.75,4.75,2025-26,Serie A,I1
30/11/2025,Roma,Napoli,0,1,A,8,8,2,5,2.6,2.88,3.1,2025-26,Serie A,I1
01/12/2025,Bologna,Cremonese,1,3,A,29,10,7,5,1.48,4.0,8.0,2025-26,Serie A,I1
06/12/2025,Sassuolo,Fiorentina,3,1,H,13,9,5,1,2.88,3.25,2.5,2025-26,Serie A,I1
06/12/2025,Inter,Como,4,0,H,11,15,7,3,1.53,4.33,6.0,2025-26,Serie A,I1
06/12/2025,Verona,Atalanta,3,1,H,12,12,7,5,5.0,4.0,1.67,2025-26,Serie A,I1
07/12/2025,Cremonese,Lecce,2,0,H,11,9,4,1,2.4,3.1,3.2,2025-26,Serie A,I1
07/12/2025,Cagliari,Roma,1,0,H,15,6,8,2,5.25,3.6,1.67,2025-26,Serie A,I1
07/12/2025,Lazio,Bologna,1,1,D,16,13,9,6,2.6,3.1,2.9,2025-26,Serie A,I1
07/12/2025,Napoli,Juventus,2,1,H,9,5,4,2,2.35,3.0,3.2,2025-26,Serie A,I1
08/12/2025,Pisa,Parma,0,1,A,14,9,2,2,2.4,3.0,3.3,2025-26,Serie A,I1
08/12/2025,Udinese,Genoa,1,2,A,23,12,6,6,2.4,3.0,3.3,2025-26,Serie A,I1
08/12/2025,Torino,Milan,2,3,A,8,17,4,6,4.5,3.6,1.8,2025-26,Serie A,I1
12/12/2025,Lecce,Pisa,1,0,H,21,5,3,0,2.5,2.88,3.3,2025-26,Serie A,I1
13/12/2025,Torino,Cremonese,1,0,H,18,10,6,3,1.95,3.25,4.2,2025-26,Serie A,I1
13/12/2025,Parma,Lazio,0,1,A,19,15,5,5,3.6,3.3,2.1,2025-26,Serie A,I1
13/12/2025,Atalanta,Cagliari,2,1,H,17,8,8,1,1.33,5.0,9.5,2025-26,Serie A,I1
14/12/2025,Milan,Sassuolo,2,2,D,13,8,5,3,1.42,4.33,8.0,2025-26,Serie A,I1
14/12/2025,Fiorentina,Verona,1,2,A,20,13,4,3,1.8,3.4,4.75,2025-26,Serie A,I1
14/12/2025,Udinese,Napoli,1,0,H,18,7,5,0,4.5,3.4,1.85,2025-26,Serie A,I1
14/12/2025,Genoa,Inter,1,2,A,5,18,3,8,6.5,4.2,1.5,2025-26,Serie A,I1
14/12/2025,Bologna,Juventus,0,1,A,11,13,4,3,2.88,3.25,2.5,2025-26,Serie A,I1
15/12/2025,Roma,Como,1,0,H,14,13,4,1,2.1,3.3,3.6,2025-26,Serie A,I1
20/12/2025,Lazio,Cremonese,0,0,D,8,9,2,2,1.62,3.8,5.75,2025-26,Serie A,I1
20/12/2025,Juventus,Roma,2,1,H,13,14,9,5,1.95,3.2,4.33,2025-26,Serie A,I1
21/12/2025,Cagliari,Pisa,2,2,D,14,15,5,3,2.15,3.1,3.75,2025-26,Serie A,I1
21/12/2025,Sassuolo,Torino,0,1,A,7,10,1,5,2.3,3.2,3.3,2025-26,Serie A,I1
21/12/2025,Fiorentina,Udinese,5,1,H,20,11,7,4,2.2,3.3,3.4,2025-26,Serie A,I1
21/12/2025,Genoa,Atalanta,0,1,A,6,16,3,4,4.0,3.4,1.95,2025-26,Serie A,I1
