Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
07/12/2025,Elche,Girona,3,0,H,11,8,6,4,2.15,3.3,3.5,2025-26,La Liga,SP1
07/12/2025,Valencia,Sevilla,1,1,D,11,4,3,1,2.15,3.4,3.4,2025-26,La Liga,SP1
07/12/2025,Espanol,Vallecano,1,0,H,9,6,2,2,2.25,3.4,3.2,2025-26,La Liga,SP1
07/12/2025,Real Madrid,Celta,0,2,A,23,7,7,5,1.3,5.5,9.5,2025-26,La Liga,SP1
08/12/2025,Osasuna,Levante,2,0,H,14,11,6,5,1.73,3.8,4.5,2025-26,La Liga,SP1
12/12/2025,Sociedad,Girona,1,2,A,9,14,4,3,1.75,3.9,4.5,2025-26,La Liga,SP1
13/12/2025,Ath Madrid,Valencia,2,1,H,10,13,6,2,1.3,5.0,11.0,2025-26,La Liga,SP1
13/12/2025,Mallorca,Elche,3,1,H,15,9,8,0,2.45,3.1,3.1,2025-26,La Liga,SP1
13/12/2025,Barcelona,Osasuna,2,0,H,24,3,7,2,1.2,7.0,12.0,2025-26,La Liga,SP1
13/12/2025,Getafe,Espanol,0,1,A,11,6,1,4,2.5,2.8,3.25,2025-26,La Liga,SP1
14/12/2025,Sevilla,Oviedo,4,0,H,13,5,7,1,1.91,3.4,4.2,2025-26,La Liga,SP1
14/12/2025,Celta,Ath Bilbao,2,0,H,5,14,2,2,2.63,3.25,2.75,2025-26,La Liga,SP1
14/12/2025,Alaves,Real Madrid,1,2,A,6,13,2,6,5.5,4.0,1.6,2025-26,La Liga,SP1
15/12/2025,Vallecano,Betis,0,0,D,23,13,7,6,2.55,3.4,2.75,2025-26,La Liga,SP1
19/12/2025,Valencia,Mallorca,1,1,D,17,4,2,2,1.9,3.0,4.0,2025-26,La Liga,SP1
20/12/2025,Oviedo,Celta,0,0,D,10,6,3,2,3.6,3.4,2.05,2025-26,La Liga,SP1
20/12/2025,Levante,Sociedad,1,1,D,13,18,3,6,3.4,3.4,2.15,2025-26,La Liga,SP1
20/12/2025,Osasuna,Alaves,3,0,H,16,7,7,3,2.2,3.0,3.7,2025-26,La Liga,SP1
20/12/2025,Real Madrid,Sevilla,2,0,H,18,14,8,5,1.2,7.0,12.0,2025-26,La Liga,SP1
21/12/2025,Girona,Ath Madrid,0,3,A,9,14,2,6,5.0,4.0,1.67,2025-26,La Liga,SP1
21/12/2025,Villarreal,Barcelona,0,2,A,14,19,5,5,3.4,4.75,1.83,2025-26,La Liga,SP1
21/12/2025,Elche,Vallecano,4,0,H,18,18,6,8,2.4,3.1,3.2,2025-26,La Liga,SP1
21/12/2025,Betis,Getafe,4,0,H,19,15,8,3,1.7,3.5,5.5,2025-26,La Liga,SP1
22/12/2025,Ath Bilbao,Espanol,1,2,A,17,10,7,5,1.75,3.6,5.0,2025-26,La Liga,SP1
02/01/2026,Vallecano,Getafe,1,1,D,13,12,4,4,2.05,2.9,4.5,2025-26,La Liga,SP1
03/01/2026,Celta,Valencia,4,1,H,12,16,6,5,2.0,3.3,4.0,2025-26,La Liga,SP1
03/01/2026,Osasuna,Ath Bilbao,1,1,D,11,16,4,6,3.0,2.9,2.63,2025-26,La Liga,SP1
03/01/2026,Elche,Villarreal,1,3,A,15,12,2,4,3.2,3.5,2.2,2025-26,La Liga,SP1
03/01/2026,Espanol,Barcelona,0,2,A,14,15,7,6,5.25,4.75,1.5,2025-26,La Liga,SP1
04/01/2026,Sevilla,Levante,0,3,A,15,6,7,4,1.75,3.6,4.75,2025-26,La Liga,SP1
04/01/2026,Real Madrid,Betis,5,1,H,19,13,9,5,1.45,4.75,6.25,2025-26,La Liga,SP1
04/01/2026,Alaves,Oviedo,1,1,D,18,18,7,6,1.9,3.0,5.25,2025-26,La Liga,SP1
04/01/2026,Mallorca,Girona,1,2,A,9,9,2,4,2.25,3.2,3.4,2025-26,La Liga,SP1
04/01/2026,Sociedad,Ath Madrid,1,1,D,18,10,8,2,3.9,3.6,1.91,2025-26,La Liga,SP1
15/08/2024,Ath Bilbao,Getafe,1,1,D,7,9,4,2,1.48,4.0,8.0,2024-25,La Liga,SP1
15/08/2024,Betis,Girona,1,1,D,19,13,4,2,2.35,3.4,3.0,2024-25,La Liga,SP1
16/08/2024,Celta,Alaves,2,1,H,6,10,4,2,2.0,3.2,4.1,2024-25,La Liga,SP1
16/08/2024,Las Palmas,Sevilla,2,2,D,13,16,5,5,2.8,3.25,2.63,2024-25,La Liga,SP1
17/08/2024,Osasuna,Leganes,1,1,D,16,10,5,4,1.85,3.3,4.5,2024-25,La Liga,SP1
17/08/2024,Valencia,Barcelona,1,2,A,6,18,1,8,4.75,3.8,1.73,2024-25,La Liga,SP1
18/08/2024,Sociedad,Vallecano,1,2,A,11,12,5,5,1.57,3.75,7.0,2024-25,La Liga,SP1
18/08/2024,Mallorca,Real Madrid,1,1,D,12,13,5,4,8.0,4.2,1.45,2024-25,La Liga,SP1
19/08/2024,Valladolid,Espanol,1,0,H,12,10,3,2,2.38,3.0,3.4,2024-25,La Liga,SP1
19/08/2024,Villarreal,Ath Madrid,2,2,D,8,10,3,5,3.3,3.7,2.1,2024-25,La Liga,SP1
23/08/2024,Celta,Valencia,3,1,H,7,13,5,5,2.1,3.4,3.6,2024-25,La Liga,SP1
23/08/2024,Sevilla,Villarreal,1,2,A,15,6,9,5,2.4,3.6,2.8,2024-25,La Liga,SP1
24/08/2024,Osasuna,Mallorca,1,0,H,15,11,5,2,2.45,3.1,3.1,2024-25,La Liga,SP1
24/08/2024,Barcelona,Ath Bilbao,2,1,H,13,9,5,2,1.62,4.2,5.0,2024-25,La Liga,SP1
24/08/2024,Espanol,Sociedad,0,1,A,13,8,3,4,3.9,3.2,2.05,2024-25,La Liga,SP1
24/08/2024,Getafe,Vallecano,0,0,D,12,3,0,1,2.45,3.0,3.2,2024-25,La Liga,SP1
25/08/2024,Real Madrid,Valladolid,3,0,H,17,8,9,2,1.18,7.5,15.0,2024-25,La Liga,SP1
25/08/2024,Leganes,Las Palmas,2,1,H,10,10,5,5,2.25,3.0,3.6,2024-25,La Liga,SP1
25/08/2024,Alaves,Betis,0,0,D,3,13,1,3,2.38,3.1,3.25,2024-25,La Liga,SP1
25/08/2024,Ath Madrid,Girona,3,0,H,11,13,6,5,1.6,4.1,5.5,2024-25,La Liga,SP1
26/08/2024,Villarreal,Celta,4,3,H,22,18,9,8,1.91,3.4,3.8,2024-25,La Liga,SP1
27/08/2024,Mallorca,Sevilla,0,0,D,12,16,4,7,2.38,3.1,3.25,2024-25,La Liga,SP1
27/08/2024,Vallecano,Barcelona,1,2,A,8,22,4,5,5.25,3.8,1.62,2024-25,La Liga,SP1
28/08/2024,Ath Bilbao,Valencia,1,0,H,13,2,4,0,1.62,3.9,5.75,2024-25,La Liga,SP1
28/08/2024,Valladolid,Leganes,0,0,D,12,8,2,1,2.3,3.0,3.6,2024-25,La Liga,SP1
28/08/2024,Ath Madrid,Espanol,0,0,D,24,8,7,1,1.3,5.25,11.0,2024-25,La Liga,SP1
28/08/2024,Sociedad,Alaves,1,2,A,8,12,1,5,1.7,3.5,5.75,2024-25,La Liga,SP1
29/08/2024,Girona,Osasuna,4,0,H,10,1,5,0,1.7,4.0,4.33,2024-25,La Liga,SP1
29/08/2024,Las Palmas,Real Madrid,1,1,D,7,25,3,8,8.0,5.0,1.38,2024-25,La Liga,SP1
31/08/2024,Barcelona,Valladolid,7,0,H,23,5,10,2,1.25,6.25,10.0,2024-25,La Liga,SP1
31/08/2024,Ath Bilbao,Ath Madrid,0,1,A,8,9,1,2,3.0,3.3,2.38,2024-25,La Liga,SP1
31/08/2024,Espanol,Vallecano,2,1,H,10,17,5,5,2.8,3.0,2.8,2024-25,La Liga,SP1
31/08/2024,Leganes,Mallorca,0,1,A,4,12,2,3,2.5,3.0,3.2,2024-25,La Liga,SP1
31/08/2024,Valencia,Villarreal,1,1,D,22,9,6,3,2.8,3.4,2.45,2024-25,La Liga,SP1
01/09/2024,Alaves,Las Palmas,2,0,H,15,12,5,7,1.95,3.4,4.0,2024-25,La Liga,SP1
01/09/2024,Osasuna,Celta,3,2,H,10,12,4,3,2.45,3.25,3.0,2024-25,La Liga,SP1
01/09/2024,Sevilla,Girona,0,2,A,16,11,5,4,2.35,3.8,2.75,2024-25,La Liga,SP1
01/09/2024,Getafe,Sociedad,0,0,D,16,1,1,0,3.5,2.9,2.38,2024-25,La Liga,SP1
01/09/2024,Real Madrid,Betis,2,0,H,20,12,8,2,1.29,5.75,9.5,2024-25,La Liga,SP1
13/09/2024,Betis,Leganes,2,0,H,14,3,5,0,1.62,3.7,6.25,2024-25,La Liga,SP1
14/09/2024,Mallorca,Villarreal,1,2,A,10,21,5,4,2.45,3.4,2.88,2024-25,La Liga,SP1
14/09/2024,Espanol,Alaves,3,2,H,9,19,4,6,2.63,3.2,2.8,2024-25,La Liga,SP1
14/09/2024,Sevilla,Getafe,1,0,H,10,15,4,4,2.2,3.0,3.7,2024-25,La Liga,SP1
14/09/2024,Sociedad,Real Madrid,0,2,A,11,16,2,7,4.75,3.9,1.67,2024-25,La Liga,SP1
