Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
22/11/2025,Lens,Strasbourg,1,0,H,13,7,5,1,2.05,3.75,3.4,2025-26,Ligue 1,F1
22/11/2025,Rennes,Monaco,4,1,H,17,13,9,3,2.63,3.7,2.45,2025-26,Ligue 1,F1
22/11/2025,Paris SG,Le Havre,3,0,H,31,12,11,4,1.18,7.5,12.0,2025-26,Ligue 1,F1
23/11/2025,Auxerre,Lyon,0,0,D,12,16,5,7,3.9,3.4,2.0,2025-26,Ligue 1,F1
23/11/2025,Brest,Metz,3,2,H,20,7,7,3,1.8,3.75,4.33,2025-26,Ligue 1,F1
23/11/2025,Nantes,Lorient,1,1,D,9,7,1,1,2.63,3.3,2.7,2025-26,Ligue 1,F1
23/11/2025,Toulouse,Angers,0,1,A,25,6,6,2,1.6,3.8,6.0,2025-26,Ligue 1,F1
23/11/2025,Lille,Paris FC,4,2,H,17,6,10,3,1.62,4.0,5.5,2025-26,Ligue 1,F1
28/11/2025,Metz,Rennes,0,1,A,16,9,5,2,4.0,3.6,1.85,2025-26,Ligue 1,F1
29/11/2025,Monaco,Paris SG,1,0,H,10,17,5,4,5.0,4.33,1.6,2025-26,Ligue 1,F1
29/11/2025,Paris FC,Auxerre,1,1,D,11,11,2,3,1.8,3.6,4.5,2025-26,Ligue 1,F1
29/11/2025,Marseille,Toulouse,2,2,D,20,6,5,4,1.6,3.9,6.0,2025-26,Ligue 1,F1
30/11/2025,Strasbourg,Brest,1,2,A,14,7,6,4,1.8,3.75,4.33,2025-26,Ligue 1,F1
30/11/2025,Angers,Lens,1,2,A,7,17,5,6,4.75,3.8,1.75,2025-26,Ligue 1,F1
30/11/2025,Le Havre,Lille,0,1,A,14,8,7,2,4.33,3.6,1.85,2025-26,Ligue 1,F1
30/11/2025,Lorient,Nice,3,1,H,18,9,7,2,2.45,3.3,2.88,2025-26,Ligue 1,F1
30/11/2025,Lyon,Nantes,3,0,H,20,6,8,2,1.42,4.75,7.0,2025-26,Ligue 1,F1
05/12/2025,Brest,Monaco,1,0,H,12,10,4,2,3.3,3.9,2.0,2025-26,Ligue 1,F1
05/12/2025,Lille,Marseille,1,0,H,5,6,2,2,2.3,3.6,2.9,2025-26,Ligue 1,F1
06/12/2025,Nantes,Lens,1,2,A,10,20,4,6,4.75,3.9,1.7,2025-26,Ligue 1,F1
06/12/2025,Toulouse,Strasbourg,1,0,H,6,3,3,0,2.5,3.4,2.8,2025-26,Ligue 1,F1
06/12/2025,Paris SG,Rennes,5,0,H,20,6,9,2,1.3,6.5,7.5,2025-26,Ligue 1,F1
07/12/2025,Nice,Angers,0,1,A,13,8,3,4,1.95,3.6,3.8,2025-26,Ligue 1,F1
07/12/2025,Auxerre,Metz,3,1,H,14,5,7,3,2.0,3.5,3.75,2025-26,Ligue 1,F1
07/12/2025,Le Havre,Paris FC,0,0,D,13,13,2,2,2.7,3.2,2.7,2025-26,Ligue 1,F1
07/12/2025,Lorient,Lyon,1,0,H,14,7,6,4,3.2,3.5,2.2,2025-26,Ligue 1,F1
12/12/2025,Angers,Nantes,4,1,H,20,7,9,4,2.15,3.2,3.6,2025-26,Ligue 1,F1
13/12/2025,Rennes,Brest,3,1,H,9,14,5,7,1.83,3.75,4.1,2025-26,Ligue 1,F1
13/12/2025,Metz,Paris SG,2,3,A,9,14,5,9,10.0,6.5,1.25,2025-26,Ligue 1,F1
13/12/2025,Paris FC,Toulouse,0,3,A,9,7,2,4,2.4,3.4,2.88,2025-26,Ligue 1,F1
14/12/2025,Lyon,Le Havre,1,0,H,18,10,4,4,1.6,4.1,5.25,2025-26,Ligue 1,F1
14/12/2025,Auxerre,Lille,3,4,A,18,8,8,5,4.5,3.6,1.8,2025-26,Ligue 1,F1
14/12/2025,Lens,Nice,2,0,H,15,8,5,4,1.48,4.5,6.25,2025-26,Ligue 1,F1
14/12/2025,Strasbourg,Lorient,0,0,D,12,10,2,2,1.73,3.7,4.75,2025-26,Ligue 1,F1
14/12/2025,Marseille,Monaco,1,0,H,18,18,8,7,1.9,3.75,3.75,2025-26,Ligue 1,F1
02/01/2026,Toulouse,Lens,0,3,A,8,16,2,7,2.45,3.1,2.55,2025-26,Ligue 1,F1
03/01/2026,Monaco,Lyon,1,3,A,6,13,2,9,2.0,3.75,3.5,2025-26,Ligue 1,F1
03/01/2026,Nice,Strasbourg,1,1,D,19,8,6,5,2.7,3.4,2.6,2025-26,Ligue 1,F1
03/01/2026,Lille,Rennes,0,2,A,13,18,3,4,1.9,3.7,4.0,2025-26,Ligue 1,F1
04/01/2026,Marseille,Nantes,0,2,A,11,15,4,9,1.22,6.5,12.0,2025-26,Ligue 1,F1
04/01/2026,Brest,Auxerre,2,0,H,11,10,4,1,1.91,3.4,4.2,2025-26,Ligue 1,F1
04/01/2026,Le Havre,Angers,2,1,H,11,9,6,3,2.05,3.3,3.7,2025-26,Ligue 1,F1
04/01/2026,Lorient,Metz,1,1,D,16,8,5,2,1.8,3.5,4.75,2025-26,Ligue 1,F1
04/01/2026,Paris SG,Paris FC,2,1,H,20,6,6,3,1.17,7.5,17.0,2025-26,Ligue 1,F1
16/08/2024,Le Havre,Paris SG,1,4,A,5,14,2,9,7.0,4.75,1.42,2024-25,Ligue 1,F1
17/08/2024,Brest,Marseille,1,5,A,7,7,5,5,3.0,3.3,2.4,2024-25,Ligue 1,F1
17/08/2024,Reims,Lille,0,2,A,2,21,0,6,3.3,3.4,2.2,2024-25,Ligue 1,F1
17/08/2024,Monaco,St Etienne,1,0,H,13,7,6,4,1.48,4.5,6.25,2024-25,Ligue 1,F1
18/08/2024,Auxerre,Nice,2,1,H,16,9,7,2,3.1,3.25,2.35,2024-25,Ligue 1,F1
18/08/2024,Angers,Lens,0,1,A,4,10,3,5,5.75,3.8,1.62,2024-25,Ligue 1,F1
18/08/2024,Montpellier,Strasbourg,1,1,D,7,11,5,4,2.0,3.3,3.75,2024-25,Ligue 1,F1
18/08/2024,Toulouse,Nantes,0,0,D,7,6,3,2,2.1,3.3,3.7,2024-25,Ligue 1,F1
18/08/2024,Rennes,Lyon,3,0,H,22,16,8,2,2.35,3.5,2.9,2024-25,Ligue 1,F1
23/08/2024,Paris SG,Montpellier,6,0,H,21,6,10,3,1.25,7.0,10.0,2024-25,Ligue 1,F1
24/08/2024,Lyon,Monaco,0,2,A,2,15,1,4,2.5,3.8,2.6,2024-25,Ligue 1,F1
24/08/2024,Lille,Angers,2,0,H,11,5,6,2,1.36,4.75,9.0,2024-25,Ligue 1,F1
24/08/2024,St Etienne,Le Havre,0,2,A,18,14,5,5,2.1,3.4,3.5,2024-25,Ligue 1,F1
25/08/2024,Lens,Brest,2,0,H,22,10,11,2,1.8,3.7,4.5,2024-25,Ligue 1,F1
25/08/2024,Nantes,Auxerre,2,0,H,8,10,6,3,2.25,3.3,3.25,2024-25,Ligue 1,F1
25/08/2024,Nice,Toulouse,1,1,D,10,15,4,3,1.85,3.4,4.5,2024-25,Ligue 1,F1
25/08/2024,Strasbourg,Rennes,3,1,H,9,13,5,5,3.1,3.5,2.25,2024-25,Ligue 1,F1
